obs,treatment,colony,workers_st,pupae_st,size,b_wt_st,pair,eggs,b_wt_end,pupae,pupae_wt,queen,queen_wt,workers,workers_wt,males,males_wt,av_male,gyne,gynes_wt,av_gyne,weight_increase,sum_larval_no,sum_larval_weight
pollen removal,c,01B_C,51,50,8,44.57,1,192,154.69,135,63.023,1,0.875,121,30.09,19,5.925,0.311842105,2,1.506,0.753,110.12,235,28.043
pollen removal,c,03G_C,36,54,3,38.6,2,103,151.37,65,20.562,1,0.788,56,10.118,2,0.576,0.288,18,15.005,0.833611111,112.77,111,14.047
pollen removal,c,05R_C,36,38,1,51.04,3,10,104.36,38,16.318,0,NA,16,3.36,1,0.242,0.242,0,0,NA,53.32,7,0.922
pollen removal,c,07P_C,39,37,2,28.52,4,99,84.5,89,25.963,0,NA,34,5.249,34,9.608,0.282588235,0,0,NA,55.98,58,2.923
pollen removal,c,09Y_C,58,64,10,57.1,5,262,191.07,140,53.187,1,0.862,76,14.435,14,4.656,0.332571429,20,16.113,0.80565,133.97,50,9.049
pollen removal,t,02B_T,48,55,8,48.4,1,191,151.1,198,73.989,1,0.673,115,22.082,2,0.536,0.268,14,9.536,0.681142857,102.7,345,22.169
pollen removal,t,04G_T,37,50,3,52.4,2,239,111.02,103,41.552,0,NA,58,12.376,22,6.889,0.313136364,2,1.759,0.8795,58.62,80,8.306
pollen removal,t,06R_T,35,36,1,39.26,3,0,54.85,39,16.387,0,NA,23,4.719,0,0,NA,5,3.917,0.7834,15.59,41,7.518
pollen removal,t,08P_T,40,47,2,51.56,4,86,200.07,154,49.839,1,1.022,91,17.229,56,16.51,0.294821429,8,6.186,0.77325,148.51,159,15.346
pollen removal,t,10Y_T,51,99,10,55.05,5,336,165.32,224,84.596,0,NA,78,15.771,7,2.171,0.310142857,0,0,NA,110.27,115,13.401
photographic,c,11R_C,42,53,6,56.05,6,272,211.45,186,78.027,0,NA,153,30.49,33,10.462,0.317030303,28,22.21,0.793214286,155.4,165,30.089
photographic,c,13B_C,57,17,5,32.04,7,50,115.18,101,30.877,0,NA,44,7.454,36,10.477,0.291027778,1,0.879,0.879,83.14,108,4.298
photographic,c,15G_C,45,67,9,47.65,8,298,216,92,31.463,0,NA,142,37.293,1,0.31,0.31,2,1.113,0.5565,168.35,5,1.612
photographic,c,17Y_C,46,42,4,45.85,9,476,186.28,134,47.972,0,1.007,67,15.567,75,23.235,0.3098,0,0,NA,140.43,17,5.284
photographic,c,19P_C,45,54,7,68.5,10,269,219.97,179,75.286,0,0.952,109,26.644,44,14.952,0.339818182,1,0.632,0.632,151.47,233,32.261
photographic,t,12R_T,54,41,6,45.82,6,132,42.91,28,9.136,1,0.977,41,7.421,9,2.828,0.314222222,0,0,NA,-2.91,88,8.357
photographic,t,14B_T,35,65,5,36.45,7,159,87.5,17,6.195,0,NA,50,10.453,0,0,NA,0,0,NA,51.05,62,8.747
photographic,t,16G_T,45,72,9,45.2,8,272,163.1,171,54.538,0,0.934,67,13.271,39,11.234,0.288051282,4,3.907,0.97675,117.9,101,12.876
photographic,t,18Y_T,37,53,4,44.43,9,140,202.92,198,68.77,0,0.745,80,13.288,58,16.936,0.292,13,10.935,0.841153846,158.49,124,3.1
photographic,t,20P_T,51,48,7,41.85,10,214,157.18,197,101.256,0,0.921,85,17.533,13,3.809,0.293,1,0.748,0.748,115.33,149,18.176
